"Sample ID","Sample Data Type","AC50 (uM)","CC-v2","Max Resp","Structure"
"NCGC00419972-01","Activity-cherrypicks","23.551533",-2.200,-60.737,"O=C(Nc1c(C)cccc1)c1cnc2c(N(c3c(OC)cccc3)CCC2)c1"
"NCGC00396518-01","Activity-cherrypicks","null",4.000,-2.081,"N(Cc1oc(C)cc1)C1(Cc2noc(-c3ncccc3)c2)COC1"
"NCGC00391214-01","Activity-cherrypicks","null",4.000,-22.878,"S=C(Nc1ccc(F)cc1)N[C@@]1[C@]2OC[C@](n3c(Oc4cc5OCOc5cc4)nnn3)[C@]2OC1"
"NCGC00391266-01","Activity-cherrypicks","null",4.000,-2.538,"O=C(C)N1CCC(N2C[C@]3N(CC4CC4)C(=O)CO[C@]3C2)CC1"
"NCGC00421438-01","Activity-cherrypicks","29.649624",-3.000,-30.146,"O=C(NC[C@@]1N2C[C@](c3nc(C)nc(-c4occc4)c3)[C@](C1)CC2)C(C)(C)C"
"NCGC00393049-01","Activity-cherrypicks","null",4.000,5.236,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1c(C)cccc1)c1c(C)cccc1"
"NCGC00396418-01","Activity-cherrypicks","null",4.000,-0.456,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1ccc(C)cc1)C1CC1"
"NCGC00392572-01","Activity-cherrypicks","null",4.000,-0.234,"O(C)c1c(N2CCN([C@@]3[C@@](O)[C@](NCc4occc4)[C@@]4O[C@]3OC4)CC2)cccc1"
"NCGC00416760-01","Activity-cherrypicks","26.425255",-2.200,-36.145,"O(c1c(-c2nccc3C(=O)C=C(c4ccncc4)Oc23)cccc1)c1ccccc1"
"NCGC00416093-01","Activity-cherrypicks","null",4.000,-9.279,"O=C(Nc1cc(OC)c(OC)cc1)c1cc2NC(COc3ccccc3)(C)COc2cc1"
"NCGC00417730-01","Activity-cherrypicks","null",4.000,-13.165,"O=C(NCc1occc1)c1c(C)onc1-c1c(NCc2cnccc2)n(C)nc1"
"NCGC00397151-01","Activity-cherrypicks","null",4.000,4.029,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1CCOCC1)C3)C[C@](O)C2"
"NCGC00397180-01","Activity-cherrypicks","29.649624",-2.400,-28.780,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1Cc4c(cccc4)C1)C3)C[C@](O)C2"
"NCGC00414447-01","Activity-cherrypicks","null",4.000,3.973,"Clc1ccc(C(=O)N2CCC3(C(=O)N(CC4CCOCC4)CCO3)CC2)cc1"
"NCGC00401301-01","Activity-cherrypicks","26.425255",-2.100,-81.233,"S(Cc1occc1)c1n([C@@]2[C@]3OC[C@@](OC(=O)Nc4ccccc4)[C@]3OC2)nnn1"
"NCGC00397145-01","Activity-cherrypicks","33.267425",-2.200,-57.516,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(Cc1ccncc1)C3)C[C@](O)C2"
"NCGC00419957-01","Activity-cherrypicks","29.649624",-2.400,-24.251,"Clc1cc(NC(=O)c2cnc3c(N(Cc4ccccc4)CCC3)c2)ccc1"
"NCGC00399945-01","Activity-cherrypicks","null",4.000,-2.461,"O=C(OC)[C@]1N2[C@](c3cc(OC)ccc3)C[C@](NCCO)C[C@@]2c2[nH]c3c(c2C1)cccc3"
"NCGC00397139-01","Activity-cherrypicks","null",4.000,-13.830,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(Cc1cnccc1)C3)C[C@](O)C2"
"NCGC00396123-01","Activity-cherrypicks","null",4.000,-0.851,"O=C(NCC1(COc2nccnc2)C[C@@](O)[C@@](O)C1)c1[nH]c2c(n1)cccc2"
"NCGC00447882-01","Activity-cherrypicks","22.946142",-2.200,-42.330,"O=C(O)Cn1c(C2C3(OC(=O)C2)CCCC3)nc(-c2oc(C)cc2)n1"
"NCGC00412678-01","Activity-cherrypicks","null",4.000,-4.045,"O(C)c1c(-c2c3c(c(Nc4cc5OCCOc5cc4)nc2)OCC3)cccc1"
"NCGC00375640-01","Activity-cherrypicks","null",4.000,-8.686,"Clc1sc2ncnc(N3CC4N(CC(F)(F)F)C(C3)CC4)c2n1"
"NCGC00412953-01","Activity-cherrypicks","29.649624",-2.200,-42.466,"O=C(Nc1cnc(OC)cc1)C1(C)c2nc(Nc3cc(OC)ccc3)ncc2CC1"
"NCGC00412001-01","Activity-cherrypicks","16.673209",-2.400,-29.211,"FC(F)(F)c1cc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)ccc1"
"NCGC00400537-01","Activity-cherrypicks","29.649624",-2.200,-74.580,"Clc1ccc(S(=O)(=O)N2[C@](C(=O)OC)Cc3ncn(C)c3C2)cc1"
"NCGC00391851-01","Activity-cherrypicks","null",4.000,-4.716,"O(c1n([C@@]2[C@]3OC[C@](NCc4occc4)[C@]3OC2)nnn1)c1ccc(-n2cncc2)cc1"
"NCGC00401725-01","Activity-cherrypicks","37.326665",-3.000,-38.861,"S(=O)(=O)(N1[C@](C(=O)OC)Cc2ncn(CCC)c2C1)c1ccc(C#N)cc1"
"NCGC00416763-01","Activity-cherrypicks","null",4.000,-13.911,"O=C1c2c(c(-c3c(O)cccc3)ncc2)OC(c2ccncc2)=C1"
"NCGC00397131-01","Activity-cherrypicks","null",4.000,-2.969,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1CCCC1)C3)C[C@](O)C2"
"NCGC00423155-01","Activity-cherrypicks","null",4.000,-7.941,"O=C(N[C@]1[C@@](OCc2ncsc2)CCOC1)Cc1cscc1"
"NCGC00397185-01","Activity-cherrypicks","null",4.000,-4.005,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(CC1CC1)C3)C[C@](O)C2"
"NCGC00416759-01","Activity-cherrypicks","29.649624",-2.200,-59.105,"O=C1c2c(c(-c3c(C)cccc3)ncc2)OC(c2ccncc2)=C1"
"NCGC00397162-01","Activity-cherrypicks","null",4.000,-14.996,"O(C)c1ccc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cc1"
"NCGC00416884-01","Activity-cherrypicks","null",4.000,-3.916,"O(C)c1c(Oc2ccccc2)cc2NC(=O)C3(c2c1)CCN(c1ncccn1)CC3"
"NCGC00397191-01","Activity-cherrypicks","16.244624",-2.400,-25.722,"FC(F)(F)Oc1cc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)ccc1"
"NCGC00390983-01","Activity-cherrypicks","null",4.000,-9.369,"Fc1ccc(-c2nc(C)nc([C@@]3[C@@]4C[C@](CNC(=O)c5occc5)N(C3)CC4)c2)cc1"
"NCGC00417725-01","Activity-cherrypicks","null",4.000,-18.149,"O=C(NCc1occc1)c1c(C)onc1-c1c(NCCc2ccccc2)n(C)nc1"
"NCGC00412014-01","Activity-cherrypicks","14.860013",-2.100,-91.760,"OCc1ccc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)cc1"
"NCGC00416691-01","Activity-cherrypicks","16.673209",-2.200,-46.538,"Fc1c(O)ccc(-c2nccc3C(=O)C=C(c4cnccc4)Oc23)c1"
"NCGC00416762-01","Activity-cherrypicks","29.649624",-3.000,-33.983,"O=C1c2c(c(-c3ccc(CO)cc3)ncc2)OC(c2ccncc2)=C1"
"NCGC00400274-01","Activity-cherrypicks","29.649624",-2.200,-64.677,"S(=O)(=O)(N1[C@](C(=O)OC)Cc2ncn(C(C)C)c2C1)c1ccc(F)cc1"
"NCGC00397132-01","Activity-cherrypicks","null",4.000,-11.156,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(Cc1ncccc1)C3)C[C@](O)C2"
"NCGC00391941-01","Activity-cherrypicks","null",4.000,-15.244,"Fc1ccc(-c2c(C(=O)O)c([C@](NC(=O)c3[nH]c4c(n3)cccc4)C)on2)cc1"
"NCGC00438179-01","Activity-cherrypicks","null",4.000,-17.969,"C(N1C2(CCN(c3ncccn3)CC2)CCC1)c1oc(-c2n[nH]cc2)cc1"
"NCGC00425664-01","Activity-cherrypicks","null",4.000,4.140,"Fc1c(Cn2c(C)c(CC(=O)NCC3CC3)c3C(=O)CCCc23)cccc1"
"NCGC00378215-01","Activity-cherrypicks","null",4.000,-1.048,"Clc1nnc(N2C(=O)CN(Cc3cc(-c4c(C)cc(C)cc4)ccc3)CC2)cc1"
"NCGC00414424-01","Activity-cherrypicks","null",4.000,5.396,"Clc1ccc(C(=O)N2CCC3(C(=O)N(CCOC)CCO3)CC2)cc1"
"NCGC00412436-01","Activity-cherrypicks","29.649624",-2.400,-23.133,"O=C(NCc1occc1)Cc1c2c([nH]c1)ncc(-c1c(OC)nccc1)c2"
"NCGC00442455-01","Activity-cherrypicks","null",4.000,-4.965,"O=C(N1CC(O)(C)C(C)(C)C1)c1c(C)oc2c1C(=O)CCC2"
"NCGC00414463-01","Activity-cherrypicks","null",4.000,-1.982,"Clc1ccc(C(=O)N2CCC3(C(=O)N(CC4CC4)CCO3)CC2)cc1"
"NCGC00396421-01","Activity-cherrypicks","null",4.000,0.143,"FC(F)(F)c1c(C(=O)N[C@]2[C@](O)[C@](O)C[C@@]2c2ccccc2)cc(C)o1"
"NCGC00420044-01","Activity-cherrypicks","29.649624",-2.200,-44.076,"O=C(Nc1cnccc1)c1cnc2c(N(c3c(OC)cccc3)CCC2)c1"
"NCGC00416134-01","Activity-cherrypicks","null",4.000,-19.109,"O=C(Nc1cc(OC)c(OC)cc1)c1cc2NC(CNc3ccccc3)(C)COc2cc1"
"NCGC00449520-01","Activity-cherrypicks","22.946142",-2.200,-69.139,"Fc1ccc(-c2oc(CNC(=O)C3CN(Cc4cnccc4)C(=O)C3)cc2)cc1"
"NCGC00394320-01","Activity-cherrypicks","null",4.000,0.919,"O=C1N(CC2CCCCC2)[C@]2[C@@](OC1)CN(c1ncc(C#N)cc1)C2"
"NCGC00416649-01","Activity-cherrypicks","23.551533",-2.200,-48.451,"O=C1c2c(c(-c3cc(CO)ccc3)ncc2)OC(c2ncccc2)=C1"
"NCGC00411671-01","Activity-cherrypicks","null",4.000,-2.013,"Fc1cc(-c2nc(C(=O)NCC=3C(=O)NC(C)=CC=3C)c3c(n(C)cc3)c2)ccc1"
"NCGC00412045-01","Activity-cherrypicks","13.244",-2.100,-88.341,"O(C)c1c(OC)ccc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)c1"
"NCGC00443491-01","Activity-cherrypicks","20.45077",-2.200,-74.101,"O=C(CCc1oc(-c2sccc2)cc1)N1C[C@](O)[C@@](O)(C)CC1"
"NCGC00419962-01","Activity-cherrypicks","23.551533",-2.400,-29.116,"O=C(Nc1ccccc1)c1cnc2c(N(c3c(OC)cccc3)CCC2)c1"
"NCGC00416765-01","Activity-cherrypicks","16.673209",-1.400,-29.199,"O=C1c2c(c(-c3cc(O)ccc3)ncc2)OC(c2ccncc2)=C1"
"NCGC00414454-01","Activity-cherrypicks","null",4.000,-2.598,"O=C(N1CCC2(C(=O)N(CC3CC3)CCO2)CC1)c1cc(O)ccc1"
"NCGC00393088-01","Activity-cherrypicks","null",4.000,5.719,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1c(C)cccc1)c1cc(OC)ccc1"
"NCGC00391602-01","Activity-cherrypicks","null",4.000,2.859,"Clc1c(F)cc([C@]2N3[C@](C(=O)OC)Cc4c5c([nH]c4[C@]3C[C@@](NCCOC)C2)cccc5)cc1"
"NCGC00397144-01","Activity-cherrypicks","null",4.000,-14.544,"Fc1c(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cccc1"
"NCGC00412141-01","Activity-cherrypicks","14.860013",-2.100,-92.505,"O(C)c1cc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)ccc1"
"NCGC00391808-01","Activity-cherrypicks","14.860013",-2.100,-90.881,"S(Cc1occc1)c1n([C@@]2[C@]3OC[C@@](OCc4ccccc4)[C@]3OC2)nnn1"
"NCGC00416641-01","Activity-cherrypicks","37.326665",-2.400,-46.736,"O(C)c1c(-c2nccc3C(=O)C=C(c4ncccc4)Oc23)cccc1"
"NCGC00400538-01","Activity-cherrypicks","29.649624",-2.200,-65.773,"S(=O)(=O)(N1[C@](C(=O)OC)Cc2ncn(C)c2C1)c1ccc(F)cc1"
"NCGC00442763-01","Activity-cherrypicks","6.467101",-1.100,-88.137,"Fc1cc(-n2nc(c(CN(Cc3n[nH]c(C)c3)C)c2)-c2oc(C)cc2)ccc1"
"NCGC00443521-01","Activity-cherrypicks","20.45077",-2.200,-49.777,"Fc1ccc(-c2oc(CNC(=O)C3CN(CC)C(=O)CC3)cc2)cc1"
"NCGC00439590-01","Activity-cherrypicks","22.946142",-2.200,-56.812,"Fc1ccc(-c2c(C)c3c([nH]2)ccc(CNC(=O)c2oc(CO)cc2)c3)cc1"
"NCGC00391516-01","Activity-cherrypicks","null",4.000,-13.366,"N(CC1CCCCC1)[C@@]1[C@]2OC[C@](Nc3nc(-c4occc4)ccn3)[C@]2OC1"
"NCGC00397155-01","Activity-cherrypicks","null",4.000,-15.635,"Fc1ccc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cc1"
"NCGC00401657-01","Activity-cherrypicks","33.267425",-2.200,-39.353,"O=C(NC[C@@]1N2C[C@](c3nc(C)nc(-c4occc4)c3)[C@](C1)CC2)C1CC1"
"NCGC00411655-01","Activity-cherrypicks","null",4.000,-4.221,"Fc1c(-c2nc(C(=O)NCC=3C(=O)NC(C)=CC=3C)c3c(n(C)cc3)c2)cccc1"
"NCGC00397184-01","Activity-cherrypicks","11.803728",-2.200,-38.558,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(Cc1ccc(C#N)cc1)C3)C[C@](O)C2"
"NCGC00397688-01","Activity-cherrypicks","18.226768",-2.200,-54.547,"S(Cc1occc1)c1n([C@@]2[C@]3OC[C@@](OC(=O)Nc4ccc(C(=O)C)cc4)[C@]3OC2)nnn1"
"NCGC00412367-01","Activity-cherrypicks","37.326665",-2.400,-25.851,"O=C(NCc1occc1)Cc1c2c([nH]c1)ncc(-c1c(C)cccc1)c2"
"NCGC00412012-01","Activity-cherrypicks","13.244",-2.100,-92.637,"O(C)c1ccc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)cc1"
"NCGC00416626-01","Activity-cherrypicks","26.425255",-2.200,-41.227,"O=C1c2c(c(-c3cc(CO)ccc3)ncc2)OC(c2cnccc2)=C1"
"NCGC00375524-01","Activity-cherrypicks","null",4.000,5.349,"Clc1ccc(C(=O)N2CCC3(OCCN(C(=O)C)C3)CC2)cc1"
"NCGC00397190-01","Activity-cherrypicks","null",4.000,-10.425,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(C1CCC1)C3)C[C@](O)C2"
"NCGC00412149-01","Activity-cherrypicks","29.649624",-2.100,-85.040,"O(C)c1c(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)cccc1"
"NCGC00416647-01","Activity-cherrypicks","18.707648",-2.400,-28.735,"O=C1c2c(c(-c3ccc(CO)cc3)ncc2)OC(c2ncccc2)=C1"
"NCGC00416922-01","Activity-cherrypicks","null",4.000,-2.255,"O=C(CN1CCOCC1)N1CCC2(C(=O)Nc3c2cc(OC)c(OCC2CC2)c3)CC1"
"NCGC00416566-01","Activity-cherrypicks","null",4.000,-13.476,"O(C)c1cc(OC)cc(CNc2nccc3C(=O)C=C(N4CCOCC4)Oc23)c1"
"NCGC00396690-01","Activity-cherrypicks","null",4.000,-5.020,"O=C(N[C@]1[C@](O)[C@](O)C[C@@]1c1cc(C)ccc1)c1ccccc1"
"NCGC00423254-01","Activity-cherrypicks","null",4.000,-0.692,"S(Cc1oc(C(=O)N[C@@]2[C@@](C3CCCC3)[C@]3OCC[C@@]23)cc1)C"
"NCGC00395181-01","Activity-cherrypicks","null",4.000,-1.151,"N(CC1CCCCC1)[C@@]1[C@]2OC[C@](Nc3nc(-c4sccc4)ccn3)[C@]2OC1"
"NCGC00424748-01","Activity-cherrypicks","null",4.000,5.309,"O=C(N[C@@]1[C@@](C2CCCC2)[C@]2OCC[C@@]12)Cc1cc2OCOc2cc1"
"NCGC00412030-01","Activity-cherrypicks","29.649624",-2.200,-45.768,"Oc1ncc(C=2c3n(cnc3)C=C(c3c(C)cccc3)C=2)cc1"
"NCGC00412162-01","Activity-cherrypicks","null",4.000,-11.443,"O(C)c1ccc(C=2c3n(cnc3)C=C(c3c(O)cccc3)C=2)cc1"
"NCGC00391000-01","Activity-cherrypicks","20.45077",-2.200,-51.854,"S(=O)(=O)(NC[C@@]1N2C[C@](c3nc(C)nc(-c4occc4)c3)[C@](C1)CC2)c1c(OC)ccc(OC)c1"
"NCGC00479855-01","Activity-cherrypicks","null",4.000,-5.600,"Brc1c(C(=O)NCC(=O)OC)nc2SC=Cn12"
"NCGC00432326-01","Activity-cherrypicks","null",4.000,-5.398,"Clc1cc(-c2cc(O)c3OCCN(C(=O)C4(C)OCCC4)Cc3c2)ccc1"
"NCGC00412047-01","Activity-cherrypicks","16.673209",-2.200,-78.181,"OCc1cc(C=2C=C(c3cnc(O)cc3)c3n(cnc3)C=2)ccc1"
"NCGC00397127-01","Activity-cherrypicks","null",4.000,-11.875,"O=C1N(Cc2oc(C)cc2)C(=O)[C@]2N(C31CN(CC1CCCCC1)C3)C[C@](O)C2"
"NCGC00392475-01","Activity-cherrypicks","null",4.000,0.055,"O(C)c1nc(N2C[C@]3N(CC4CC4)C(=O)CO[C@]3C2)ncc1"
"NCGC00447590-01","Activity-cherrypicks","null",4.000,-16.640,"O=C(CCc1c(O)nc2c(n1)cccc2)N1C(C(=O)N)Cc2c(cccc2)C1"
"NCGC00416755-01","Activity-cherrypicks","26.425255",-2.200,-57.464,"Fc1c(-c2nccc3C(=O)C=C(c4ccncc4)Oc23)cccc1"
"NCGC00391954-01","Activity-cherrypicks","null",4.000,-6.613,"OCc1onc(CC2(NCc3oc(C)cc3)COC2)c1"
"NCGC00444625-01","Activity-cherrypicks","null",4.000,-8.665,"O=C(N(C)C)c1cnc(-c2c(N(C)C)cccc2)cc1"
"NCGC00378165-01","Activity-cherrypicks","null",4.000,3.137,"Clc1ccc(C(=O)N2CC3(OCC2)CCN(C(=O)C)CC3)cc1"
"NCGC00420090-01","Activity-cherrypicks","23.551533",-2.200,-50.316,"O=C(Nc1cc(OC)ccc1)c1cnc2c(N(Cc3ccccc3)CCC2)c1"
"NCGC00448272-01","Activity-cherrypicks","16.244624",-2.200,-50.212,"O=C(NCc1occc1)N1CCC(C(=O)Nc2cc(-c3occc3)ccc2)CC1"
"NCGC00393695-01","Activity-cherrypicks","null",4.000,-9.304,"O=C1N(Cc2ncccc2)c2c(O[C@@]3CN(C4COC4)[C@]1C3)cccc2"
"NCGC00416617-01","Activity-cherrypicks","26.425255",-2.200,-48.748,"O=C1c2c(c(-c3c(O)cccc3)ncc2)OC(c2cnccc2)=C1"
"NCGC00397178-01","Activity-cherrypicks","5.915878",-1.400,-29.064,"Clc1ccc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)cc1"
"NCGC00394225-01","Activity-cherrypicks","null",4.000,-3.890,"O=C1N(CC2CCCCC2)[C@]2[C@@](OC1)CN(C(C)C)C2"
"NCGC00416789-01","Activity-cherrypicks","37.326665",-2.400,-27.068,"O=C(C)N1CCC2(C(=O)Nc3c2cc(OC)c(OCC2CC2)c3)CC1"
"NCGC00436907-01","Activity-cherrypicks","20.45077",-2.200,-39.426,"O=C(NCc1oc(C)cc1)CN1C(=O)N(c2ccccc2)C(COC)=N1"
"NCGC00416804-01","Activity-cherrypicks","null",4.000,-11.459,"O=C(COC)N1CCC2(C(=O)Nc3c2cc(OC)c(OCC2CC2)c3)CC1"
"NCGC00401655-01","Activity-cherrypicks","33.267425",-2.200,-49.558,"O=C(NC[C@@]1N2C[C@](c3nc(C)nc(-c4occc4)c3)[C@](C1)CC2)C1CCC1"
"NCGC00416903-01","Activity-cherrypicks","null",4.000,-4.089,"O(CC1CC1)c1c(OC)cc2C3(C(=O)Nc2c1)CCN(c1ncccn1)CC3"
"NCGC00391826-01","Activity-cherrypicks","null",4.000,-13.099,"S=C(Nc1cc(OC)cc(OC)c1)N[C@@]1[C@]2OC[C@](n3c(Oc4cc(N5CCOCC5)ccc4)nnn3)[C@]2OC1"
"NCGC00436219-01","Activity-cherrypicks","null",4.000,2.188,"O=C(N1Cc2ncnc(N3CCOCC3)c2CC1)c1c2nccnc2ccc1"
"NCGC00504893-01","Activity-cherrypicks","null",4.000,-4.305,"Clc1c(CN2CCN(c3c(F)c(CN(C(=O)OC)C)ccc3)CC2)c(Cl)ccc1Cl"
"NCGC00480055-01","Activity-cherrypicks","null",4.000,-13.935,"Clc1cc(CC(=O)N2Cc3c(-c4ccccc4)nc(-c4ccc(Cl)cc4)nc3CC2)ccc1"
"NCGC00421000-01","Activity-cherrypicks","29.649624",-2.200,-67.790,"S(=O)(=O)(N1[C@](C(=O)OC)Cc2ncn(C)c2C1)c1ccc(C#N)cc1"
"NCGC00480460-01","Activity-cherrypicks","null",4.000,-1.292,"Clc1ncc(C(=O)N2Cc3c(-c4ccc(Cl)cc4)nc(-c4ccccc4)nc3CC2)cc1"
"NCGC00416639-01","Activity-cherrypicks","7.447649",-1.200,-30.147,"Fc1c(-c2nccc3C(=O)C=C(c4ncccc4)Oc23)cccc1"
"NCGC00391832-01","Activity-cherrypicks","null",4.000,0.161,"O(c1n([C@@]2[C@]3OC[C@](NCc4occc4)[C@]3OC2)nnn1)c1ccc(-n2ncnc2)cc1"
"NCGC00392483-01","Activity-cherrypicks","2.642525",-1.400,-27.457,"O=C(NCc1occc1)[C@]1N[C@@](CC(C)C)c2c3c(n(CC#CC)cc3C1)ccc2"
"NCGC00395629-01","Activity-cherrypicks","null",4.000,0.019,"O(C[C@@]1[C@@](O)[C@@](O)[C@](NCc2oc(C)cc2)C1)c1nc(C)ccc1"
"NCGC00397150-01","Activity-cherrypicks","null",4.000,-14.070,"Fc1cc(CN2CC3(C(=O)N(Cc4oc(C)cc4)C(=O)[C@]4N3C[C@](O)C4)C2)ccc1"
"NCGC00480030-01","Activity-cherrypicks","null",4.000,-5.199,"Clc1cc(C(=O)N2Cc3c(-c4ccccc4)nc(-c4ccc(Cl)cc4)nc3CC2)ccc1"
"NCGC00391799-01","Activity-cherrypicks","20.45077",-2.200,-55.820,"S(Cc1occc1)c1n([C@@]2[C@]3OC[C@@](OC(=O)Nc4ccc(OC)cc4)[C@]3OC2)nnn1"
